Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"IIHIO_BQ0084T",16000072,"",0,1,"CLKOUT1",1,6.462,"uA","P",0.0273895,***,""
"IIHIO_IC33TFSHY",16010001,"",0,1,"POWER_GOOD",1,-0.009,"uA","P",0.0167706,***,""
"IIHIO_IC33TFSHY",16010002,"",0,1,"PME_Z",1,0.007,"uA","P",0.0167706,***,""
"IOZH_BC3350BTOD",16020001,"",0,1,"WAKE_Z",1,0.004,"uA","P",0.0163985,***,""
"IIHIO_IC33T",16030001,"",0,1,"REFCLK_SEL",1,0,"uA","P",0.0184574,***,""
"IIHIO_IC33T",16030002,"",0,1,"PC0",1,-0.001,"uA","P",0.0184574,***,""
"IIHIO_IC33T",16030003,"",0,1,"PC1",1,0.001,"uA","P",0.0184574,***,""
"IIHIO_IC33T",16030004,"",0,1,"PC2",1,0.001,"uA","P",0.0184574,***,""
"IIHIO_BAFTHRU33T_XI",16040000,"",0,1,"XI",1,22.858,"uA","P",0.016243,***,""
"IIHIO_BAFTHRU33T_CPS",16040001,"",0,1,"CPS",1,-0.042,"uA","P",0.016243,***,""
"IIHIO_BC3350CT",16050001,"",0,1,"GPIO5",1,0,"uA","P",0.0165566,***,""
"IIHIO_BFTHRU33",16060001,"",0,1,"VREG_PD33",1,-0.005,"uA","P",0.0162719,***,""
"IIHIO_BFTHRU33",16060002,"",0,1,"REFCLK_DIV_SEL",1,-0.01,"uA","P",0.0162719,***,""
"IIHIO_PCIXREFIN",16070001,"",0,1,"REFCLK100N",1,-0.018,"uA","P",0.0163539,***,""
"IIHIO_PCIXREFIN",16070002,"",0,1,"REFCLK100P",1,-0.013,"uA","P",0.0163539,***,""
"IIHIO_RX",16080001,"",0,1,"RXP",1,0.679,"uA","P",0.0161864,***,""
"IIHIO_RX",16080002,"",0,1,"RXN",1,0.8,"uA","P",0.0161864,***,""
"IIHIO_RSVD",16090001,"",0,1,"DEBUG_PORT1",1,-0.742,"uA","P",0.0172512,***,""
"IIHIO_RSVD",16090002,"",0,1,"DEBUG_PORT2",1,-0.734,"uA","P",0.0172512,***,""
"IIHIO_IC33TPD_PDON",16100001,"",0,1,"CLKRUN_EN",1,110.3,"uA","P",0.0162083,***,""
"IIHIO_IC33TPD_PDON",16100002,"",0,1,"EXT_ARB_EN",1,110.329,"uA","P",0.0162083,***,""
"IIHIO_IC33SHYPD_PDON",16110001,"",0,1,"TEST0",1,96.574,"uA","P",0.0160085,***,""
"IIHIO_IC33SHYPD_PDOFF",16120001,"",0,1,"TEST0",1,-0.006,"uA","P",0.0160868,***,""
"IIHIO_BC3350CTPU_PUOFF",16130001,"",0,1,"GPIO2",1,-0.017,"uA","P",0.0172278,***,""
"IIHIO_BC3350CTPU_PUOFF",16130002,"",0,1,"GPIO4",1,-0.008,"uA","P",0.0172278,***,""
"IIHIO_BC3350CTPU_PUOFF",16130003,"",0,1,"GPIO3",1,-0.011,"uA","P",0.0172278,***,""
"IIHIO_BC3350CTPU_PUOFF",16130004,"",0,1,"GPIO6",1,-0.015,"uA","P",0.0172278,***,""
"IIHIO_BC3350CTPU_PUOFF",16130005,"",0,1,"GPIO7",1,-0.009,"uA","P",0.0172278,***,""
"IIHIO_BC3350CTPU_PUOFF",16130006,"",0,1,"GPIO0",1,-0.002,"uA","P",0.0172278,***,""
"IIHIO_BC3350CTPU_PUOFF",16130007,"",0,1,"GPIO1",1,0.005,"uA","P",0.0172278,***,""
"IIHIO_IC33SHYPU_PUOFF",16140001,"",0,1,"PHY_TEST_MA",1,-0.01,"uA","P",0.0165472,***,""
"IIHIO_IC33SHYPU_PUOFF",16140002,"",0,1,"GRST_Z",1,-0.002,"uA","P",0.0165472,***,""
"IILIO_BQ0084T",16150001,"",0,1,"CBE1_Z",1,-0.026,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150002,"",0,1,"AD3",1,-0.005,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150003,"",0,1,"AD15",1,-0.016,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150004,"",0,1,"AD8",1,0,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150005,"",0,1,"AD14",1,-0.015,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150006,"",0,1,"AD25",1,-0.015,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150007,"",0,1,"PERR_Z",1,-0.032,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150008,"",0,1,"AD13",1,-0.002,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150009,"",0,1,"FRAME_Z",1,-0.002,"uA","P",0.0268787,***,""
"IILIO_BQ0084T",16150010,"",0,1,"AD26",1,-0.005,"uA","P",0.0268787,***,""
